,tweet_id,retweet_count,favorite_count,followers_count
0,892420643555336193,7061,34053,9228922
1,892177421306343426,5334,29540,9228922
2,891815181378084864,3507,22249,9228922
3,891689557279858688,7267,37213,9228922
4,891327558926688256,7809,35562,9228922
5,891087950875897856,2619,17951,9228922
6,890971913173991426,1683,10440,9228922
7,890729181411237888,15868,57245,9228922
8,890609185150312448,3648,24688,9228922
9,890240255349198849,6141,28173,9228922
10,890006608113172480,6190,27233,9228922
11,889880896479866881,4195,24770,9228922
12,889665388333682689,8402,42343,9228922
13,889638837579907072,3744,23839,9228922
14,889531135344209921,1889,13445,9228922
15,889278841981685760,4469,22270,9228922
16,888917238123831296,3789,25841,9228922
17,888804989199671297,3567,22634,9228922
18,888554962724278272,2901,17455,9228922
19,888078434458587136,2918,19308,9228922
20,887705289381826560,4561,26826,9228922
21,887517139158093824,9906,41044,9228922
22,887473957103951883,15130,60611,9228922
23,887343217045368832,8874,29816,9228922
24,887101392804085760,5024,27178,9228922
25,886983233522544640,6356,30594,9228922
26,886736880519319552,2652,10566,9228922
27,886680336477933568,3757,19888,9228922
28,886366144734445568,2649,18692,9228922
29,886258384151887873,5321,24713,9228922
30,885984800019947520,5658,28812,9228922
31,885528943205470208,5368,31807,9228922
32,885518971528720385,3133,18150,9228922
33,885167619883638784,3687,19390,9228922
34,884925521741709313,15134,67773,9228922
35,884876753390489601,4704,24582,9228922
36,884562892145688576,3940,21479,9228922
37,884441805382717440,4825,24049,9228922
38,884247878851493888,17012,63713,9228922
39,884162670584377345,2516,18073,9228922
40,883838122936631299,2882,19332,9228922
41,883482846933004288,8326,40524,9228922
42,883360690899218434,3102,20100,9228922
43,883117836046086144,5569,32760,9228922
44,882992080364220416,3263,21144,9228922
45,882762694511734784,4119,24964,9228922
46,882627270321602560,5101,24775,9228922
47,882268110199369728,9713,39455,9228922
48,882045870035918850,4112,25938,9228922
49,881906580714921986,2879,21608,9228922
50,881666595344535552,9021,44883,9228922
51,881536004380872706,13497,43749,9228922
52,881268444196462592,4529,20663,9228922
53,880935762899988482,2354,15180,9228922
54,880872448815771648,3228,18866,9228922
55,880465832366813184,5254,25187,9228922
56,880221127280381952,3499,23847,9228922
57,880095782870896641,3684,24529,9228922
58,879862464715927552,2945,19849,9228922
59,879492040517615616,2646,20859,9228922
60,879415818425184262,37693,93503,9228922
61,879376492567855104,2669,14968,9228922
62,879050749262655488,3981,19976,9228922
63,879008229531029506,2261,16909,9228922
64,878776093423087618,3464,17269,9228922
65,878604707211726852,5972,26631,9228922
66,878281511006478336,1087,6842,9228922
67,878057613040115712,5780,37443,9228922
68,877736472329191424,15911,69811,9228922
69,877556246731214848,3191,20088,9228922
70,877316821321428993,4376,24344,9228922
71,877201837425926144,4668,24023,9228922
72,876838120628539392,2826,18370,9228922
73,876537666061221889,4011,21220,9228922
74,876484053909872640,2016,16681,9228922
75,876120275196170240,3936,24876,9228922
76,875747767867523072,3608,22313,9228922
77,875144289856114688,4180,19553,9228922
78,875097192612077568,5159,24449,9228922
79,875021211251597312,4010,22732,9228922
80,874680097055178752,3945,24804,9228922
81,874296783580663808,3510,23164,9228922
82,874057562936811520,3408,20296,9228922
83,874012996292530176,8638,30361,9228922
84,873580283840344065,3365,21571,9228922
85,873213775632977920,1337,6364,9228922
86,872967104147763200,4590,24252,9228922
87,872820683541237760,3189,13161,9228922
88,872620804844003328,3088,18487,9228922
89,872486979161796608,7769,36397,9228922
90,872122724285648897,6888,30456,9228922
91,871879754684805121,9303,33373,9228922
92,871762521631449091,2987,18035,9228922
93,871515927908634625,2970,18033,9228922
94,871102520638267392,4725,18685,9228922
95,871032628920680449,3257,20311,9228922
96,870804317367881728,5308,30030,9228922
97,870656317836468226,2223,10971,9228922
98,870374049280663552,22933,74580,9228922
99,870308999962521604,3571,19650,9228923
100,870063196459192321,7120,32653,9228923
101,869772420881756160,8753,38315,9228923
102,869702957897576449,5421,25253,9228923
103,869596645499047938,2654,14315,9228923
104,869227993411051520,3220,18277,9228923
105,868880397819494401,12338,58393,9228923
106,868622495443632128,4518,23836,9228923
107,868552278524837888,1764,9047,9228923
108,867900495410671616,3601,21775,9228923
109,867774946302451713,6296,30483,9228923
110,867421006826221569,2126,14468,9228923
111,867051520902168576,6831,28940,9228923
112,866720684873056260,4154,17998,9228923
113,866686824827068416,2986,17270,9228923
114,866450705531457537,30425,109670,9228923
115,866334964761202691,12298,46963,9228923
116,865718153858494464,4893,23108,9228923
117,865359393868664832,4326,23772,9229343
118,865006731092295680,6718,25246,9228923
119,864873206498414592,7542,29046,9228923
120,864279568663928832,2602,13167,9228923
121,864197398364647424,7632,26819,9228923
122,863907417377173506,3616,18594,9228923
123,863553081350529029,3655,13788,9228923
124,863432100342583297,4582,21468,9229399
125,863062471531167744,2105,7583,9228923
126,862831371563274240,4495,17327,9228923
127,862722525377298433,3111,15455,9228923
128,862457590147678208,4283,18415,9228923
129,862096992088072192,20140,66795,9228923
130,861383897657036800,9337,32519,9228923
131,861288531465048066,3614,15467,9228923
132,861005113778896900,3357,15123,9228923
133,860563773140209665,1864,6774,9228923
134,860524505164394496,4638,21440,9228923
135,860276583193509888,3096,16719,9228923
136,860184849394610176,5157,15121,9228923
137,859924526012018688,3605,17775,9228923
138,859851578198683649,3089,14076,9228923
139,859607811541651456,1368,16960,9228923
140,859196978902773760,26477,81165,9228923
141,859074603037188101,12051,30656,9228923
142,858843525470990336,3044,14232,9228923
143,858471635011153920,4292,19656,9228923
144,858107933456039936,2554,14362,9228923
145,857989990357356544,2282,14618,9228923
146,857746408056729600,9417,31063,9228923
147,857393404942143489,1451,5336,9228923
148,857263160327368704,4008,18385,9228923
149,857029823797047296,3515,17182,9228923
150,856543823941562368,2564,14954,9228923
151,856282028240666624,5618,25437,9228923
152,855857698524602368,1880,10936,9228923
153,855851453814013952,16282,42338,9228923
154,855818117272018944,4843,24456,9228924
155,855459453768019968,7350,27314,9228924
156,854732716440526848,5405,20849,9228924
157,854482394044301312,6061,26818,9228924
158,854365224396361728,4200,17334,9228924
159,854120357044912130,6652,29461,9228924
160,854010172552949760,2819,14971,9228924
161,853760880890318849,5149,26286,9228924
162,853639147608842240,8946,31788,9228924
163,853299958564483072,3196,14283,9228924
164,852912242202992640,1615,8318,9228924
165,852672615818899456,1935,13767,9228924
166,852553447878664193,3142,15017,9228924
167,852311364735569921,8947,30584,9228924
168,852226086759018497,6134,18477,9228924
169,852189679701164033,1437,10651,9228924
170,851591660324737024,3148,15082,9228924
171,851464819735769094,6364,22457,9228924
172,851224888060895234,5214,19207,9228924
173,850753642995093505,8160,28381,9228924
174,850380195714523136,2356,12171,9228924
175,850145622816686080,3418,15156,9228924
176,850019790995546112,4413,18919,9228924
177,849776966551130114,6875,28142,9228924
178,849412302885593088,2861,14785,9228924
179,849336543269576704,1708,10659,9228925
180,849051919805034497,7697,39349,9228925
181,848690551926992896,3952,23468,9228925
182,848324959059550208,4193,23042,9228925
183,848212111729840128,2739,15154,9228925
184,847962785489326080,4621,21905,9228925
185,847842811428974592,1199,5061,9228925
186,847606175596138505,3120,17494,9228925
187,847251039262605312,3954,19155,9228925
188,847157206088847362,5291,18539,9228925
189,847116187444137987,2900,20054,9228925
190,846874817362120707,3583,18786,9228925
191,846514051647705089,10469,41550,9228925
192,846505985330044928,2794,13184,9228925
193,846153765933735936,8236,29379,9228925
194,846139713627017216,9247,29046,9228925
195,846042936437604353,2609,14935,9228925
196,845812042753855489,7935,27266,9228925
197,845677943972139009,4417,23648,9228925
198,845397057150107648,1635,7153,9228925
199,845306882940190720,4904,21798,9228925
200,844973813909606400,2884,14051,9228925
201,844580511645339650,2842,15415,9228925
202,844223788422217728,2000,12814,9229401
203,843981021012017153,2719,14254,9228925
204,843856843873095681,4206,20122,9228925
205,843604394117681152,2499,15864,9228925
206,843235543001513987,5471,20149,9228925
207,842846295480000512,3333,14349,9228925
208,842765311967449089,1181,6343,9228925
209,842535590457499648,3213,17066,9228925
210,842163532590374912,5308,22941,9228925
211,842115215311396866,2785,13123,9228925
212,841680585030541313,7218,24229,9228925
213,841439858740625411,3354,11844,9228925
214,841320156043304961,5072,18579,9228925
215,841314665196081154,4275,14875,9228925
216,841077006473256960,4926,21540,9228925
217,840696689258311684,897,11583,9228925
218,840632337062862849,1630,8503,9228925
219,840370681858686976,4211,15461,9229345
220,840268004936019968,5269,18073,9228925
221,839990271299457024,2093,12654,9228925
222,839549326359670784,7126,25790,9228925
223,839239871831150596,5985,25448,9228925
224,838952994649550848,3696,18532,9228925
225,838921590096166913,1873,10516,9228925
226,838561493054533637,1240,10355,9228925
227,838476387338051585,4377,21155,9228925
228,838083903487373313,2868,16617,9228925
229,837820167694528512,7211,32122,9228925
230,837482249356513284,411,3646,9228925
231,837471256429613056,2078,12088,9228925
232,837110210464448512,2193,15198,9228925
233,836989968035819520,2136,12064,9228925
234,836753516572119041,4298,18288,9228925
235,836677758902222849,2044,11952,9228925
236,836380477523124226,2772,14025,9228925
237,836260088725786625,4014,20145,9228925
238,836001077879255040,3935,18045,9228925
239,835574547218894849,3335,16816,9228925
240,835297930240217089,2765,15586,9228925
241,835264098648616962,1560,7310,9228925
242,835172783151792128,5337,24786,9228925
243,835152434251116546,2787,21117,9228925
244,834931633769889797,1501,10190,9228926
245,834786237630337024,5149,20412,9228926
246,834574053763584002,2335,12916,9228926
247,834458053273591808,1560,9108,9228927
248,834209720923721728,4376,19415,9228927
249,834167344700198914,3396,14980,9228927
250,834089966724603904,1983,9535,9228927
251,834086379323871233,2056,12361,9228927
252,833863086058651648,2227,12739,9228927
253,833826103416520705,3513,17227,9228927
254,833722901757046785,3022,19857,9228927
255,833479644947025920,1900,14130,9228927
256,833124694597443584,4479,19152,9228927
257,832998151111966721,2037,12548,9228927
258,832757312314028032,3356,16001,9228927
259,832682457690300417,2685,11240,9228927
260,832645525019123713,487,2770,9228927
261,832636094638288896,2587,15037,9228927
262,832397543355072512,2048,11342,9228927
263,832369877331693569,2954,16244,9229403
264,832273440279240704,2165,10762,9228927
265,832032802820481025,4342,16939,9228927
266,831939777352105988,5705,22669,9228927
267,831911600680497154,6028,26076,9228927
268,831670449226514432,1701,9882,9228927
269,831650051525054464,1804,6744,9228927
270,831552930092285952,2180,8530,9228927
271,831322785565769729,1453,8839,9228927
272,831315979191906304,1045,6229,9228927
273,831309418084069378,2289,11202,9228927
274,831262627380748289,1908,11274,9228927
275,830956169170665475,1387,7583,9228927
276,830583320585068544,15542,63000,9228927
277,830097400375152640,2728,9253,9228927
278,829861396166877184,1806,11640,9228927
279,829501995190984704,9862,30109,9228927
280,829449946868879360,1872,9957,9228927
281,829141528400556032,6835,23085,9228927
282,829011960981237760,15272,50723,9228927
283,828770345708580865,5442,24296,9228927
284,828708714936930305,10426,34547,9228927
285,828650029636317184,1257,9032,9228927
286,828409743546925057,1091,6080,9228927
287,828408677031882754,1197,7313,9228927
288,828381636999917570,2076,11982,9228927
289,828376505180889089,999,7038,9228927
290,828372645993398273,2746,11968,9228927
291,828361771580813312,166,2086,9228927
292,828046555563323392,2676,11138,9228927
293,828011680017821696,2013,9859,9228927
294,827933404142436356,4871,18995,9228927
295,827653905312006145,2814,14716,9228927
296,827600520311402496,870,7099,9228927
297,827324948884643840,2823,15071,9228927
298,827199976799354881,2076,10086,9228927
299,826958653328592898,4640,20476,9228927
300,826848821049180160,9423,34315,9228927
301,826598365270007810,2189,9522,9228927
302,826476773533745153,3924,17485,9228927
303,826240494070030336,2437,12616,9228927
304,826204788643753985,861,4629,9228927
305,826115272272650244,2888,14843,9228927
306,825876512159186944,1743,9993,9228927
307,825829644528148480,2350,12123,9228927
308,825535076884762624,16500,54453,9228927
309,825147591692263424,4213,17397,9229347
310,825026590719483904,1176,5960,9228927
311,824775126675836928,3299,14171,9228927
312,824663926340194305,1657,10001,9228927
313,824325613288833024,9970,11270,9228927
314,824297048279236611,3600,14337,9228927
315,824025158776213504,563,4619,9228927
316,823939628516474880,2559,10147,9228927
317,823699002998870016,2350,13327,9228927
318,823581115634085888,2460,12362,9228927
319,823322678127919110,3748,14952,9228927
320,822975315408461824,3223,16505,9228927
321,822872901745569793,40250,125005,9228927
322,822859134160621569,2125,12547,9228927
323,822610361945911296,2749,14070,9228927
324,822489057087389700,5988,17228,9228927
325,822462944365645825,13246,26452,9228927
326,822244816520155136,9273,33318,9228927
327,821886076407029760,2161,10754,9228927
328,821765923262631936,1565,7968,9228927
329,821522889702862852,1640,7630,9228927
330,821407182352777218,4024,11176,9228927
331,821149554670182400,1834,8174,9228927
332,821107785811234820,1988,9142,9228927
333,821044531881721856,2140,12037,9228927
334,820749716845686786,9286,30064,9228927
335,820690176645140481,3018,11661,9228927
336,820314633777061888,523,3187,9228927
337,820078625395449857,5845,18784,9228927
338,819952236453363712,1088,5060,9228927
339,819924195358416896,4567,12322,9228927
340,819711362133872643,2897,12723,9228927
341,819588359383371776,1873,9228,9228927
342,819347104292290561,1122,6891,9228927
